did,handle,displayName,avatar,followedDt,lastPostUri,lastPostDt,followsBack
did:plc:hlztr7dpet4mjszfxundifit,cgn.bsky.social,Cool Guy 🆗🆒,https://av-cdn.bsky.app/img/avatar/plain/did:plc:hlztr7dpet4mjszfxundifit/bafkreiaonvjdz65bobcr3t2lwzdhtze6fwktjlsomdy4iuzjilxeqmmzmi@jpeg,5/17/2023,at://did:plc:hlztr7dpet4mjszfxundifit/app.bsky.feed.post/3k65g4uuqo32m,8/29/2023,1
did:plc:yszq3r6es46yc3vffyhwydq7,danglinghemmie.bsky.social,skáld,https://av-cdn.bsky.app/img/avatar/plain/did:plc:yszq3r6es46yc3vffyhwydq7/bafkreiapnoluls36xt57m6a5ykpwjcu3qi6ojbkjji2nmi4iskwsbxkzdi@jpeg,5/17/2023,at://did:plc:yszq3r6es46yc3vffyhwydq7/app.bsky.feed.post/3k65fqw37ct2m,8/29/2023,1
did:plc:yf5pejud35fdewjucgmke3j7,robocopafeel.bsky.social,Himbo Slice,https://av-cdn.bsky.app/img/avatar/plain/did:plc:yf5pejud35fdewjucgmke3j7/bafkreicmzqz2do3f5ketoygvnp6tn7ddga276rvwvv5bwbouhgvu5y7bnm@jpeg,5/15/2023,at://did:plc:yf5pejud35fdewjucgmke3j7/app.bsky.feed.post/3k5gv72ohwg26,8/20/2023,1
did:plc:opjtbifaqotrr32clmad6g2t,dodgonkulator.bsky.social,Alex Grease,https://av-cdn.bsky.app/img/avatar/plain/did:plc:opjtbifaqotrr32clmad6g2t/bafkreifzdrkwf5jbdz6dhht3aitar7dhwqpo42tuy6ss6u4v4sjtodedky@jpeg,5/15/2023,at://did:plc:opjtbifaqotrr32clmad6g2t/app.bsky.feed.post/3k3cclm5nyn2b,7/24/2023,1
did:plc:7nmnou7umkr46rp7u2hbd3nb,josh.uno,Josh,https://av-cdn.bsky.app/img/avatar/plain/did:plc:7nmnou7umkr46rp7u2hbd3nb/bafkreibk4wr24zoyyg76wexwflkrq3axpbigjhe37odi2tumpaxp2gtali@jpeg,5/15/2023,at://did:plc:dzfc3nbevijs2oefcipuewfn/app.bsky.feed.post/3k5pwgzg5rx22,8/30/2023,1
did:plc:v526yviu4z5r33heg4mivxqy,serotoningoblin.gay,Serotonin Goblin (he/it) 🔆,https://av-cdn.bsky.app/img/avatar/plain/did:plc:v526yviu4z5r33heg4mivxqy/bafkreicfsavkofxya553cqpgfv5gykfkt2wjabe6w6jmv5lj7opw5z3mce@jpeg,5/15/2023,at://did:plc:v526yviu4z5r33heg4mivxqy/app.bsky.feed.post/3k5qoj4fqsr2k,8/24/2023,1
did:plc:n7axwu4wx2tsohbjqgbfru4e,skrrtvonnegut.bsky.social,Skrrt Vonnegut,https://av-cdn.bsky.app/img/avatar/plain/did:plc:n7axwu4wx2tsohbjqgbfru4e/bafkreihokdyar3puna4anfzdkwgc7pl5buzauvk6bu76i2gwnbkyolzezm@jpeg,5/15/2023,at://did:plc:n7axwu4wx2tsohbjqgbfru4e/app.bsky.feed.post/3k65mqor5dj25,8/30/2023,1
did:plc:6hg5p346ooee3apfyog4olx3,steadysquirrel.bsky.social,The Reverend Steadack Prestoné Q.R. Squirrel,https://av-cdn.bsky.app/img/avatar/plain/did:plc:6hg5p346ooee3apfyog4olx3/bafkreihxnthhp45rye62e5phu2gpwl3fsa6eijmnsygae6zmpjkxunce7a@jpeg,5/15/2023,at://did:plc:6hg5p346ooee3apfyog4olx3/app.bsky.feed.post/3k65uk4nngr23,8/30/2023,1
did:plc:3t2w2eeklyserjiqpzsyo7uc,nilejoan.com,Nile Joan,https://av-cdn.bsky.app/img/avatar/plain/did:plc:3t2w2eeklyserjiqpzsyo7uc/bafkreiboierpgjwc3f3aoc6d7p3dtikoydktbguzhkct2kg2j53ad4m4ce@jpeg,5/14/2023,at://did:plc:3t2w2eeklyserjiqpzsyo7uc/app.bsky.feed.post/3k64yuuzgdz2m,8/29/2023,1
did:plc:csw5xl36nvnbigpkjxb5rs4i,sleek.bsky.social,Sleek,https://av-cdn.bsky.app/img/avatar/plain/did:plc:csw5xl36nvnbigpkjxb5rs4i/bafkreifm46wivumrf3layz4mghkzvxsujbhoa7wftvrjluvb2cvzguivjy@jpeg,5/13/2023,at://did:plc:csw5xl36nvnbigpkjxb5rs4i/app.bsky.feed.post/3k65e5ffp352i,8/29/2023,1
